num,Name,localite,code_agence,succursale,address,phone,fax,code_wil,lat,lon
14,06-Béjaïa,Béjaïa,216,Chéraga (200),Centre des affaires Big Centre Boulevard Krim Belkacem - Béjaïa ,034 11 31 05/48,034 11 33 90,6,36.744932,5.048108
15,06-Béjaïa,Béjaïa,758,Chéraga (200),"12, Boulevard Bouaouina - Bejaïa",034 18 64 01 / 034 18 64 03,034 18 64 00,6,36.756718,5.085644
16,06-Béjaïa,Akbou,774,Chéraga (200),"26, Rue Larbi Touati, Akbou - Bejaïa",034 35 86 86 ,034 35 98 83,6,36.47771,4.556552
17,06-Béjaïa,Béjaïa,776,Chéraga (200),"Cité Administrative Somacob, Bt. C2, 1er étage, Boulevard Krim Belkacem - Béjaïa",034 12 01 11,034 12 00 99,6,36.74465,5.0492
18,07-Biskra,Biskra,509,Constantine (500),"Cité des 1000 logemets, EL Amel, BP 88 - Biskra",033 54 15 22,033 54 10 32,7,34.8451721,5.7126274
19,08-Béchar,Béchar,406,Oran (400),"N° 65, Four à chaux, Rue Guyen Van Troy - Béchar",049 21 52 35 / 049 21 52 36,049 21 52 36,8,31.6187349223794,-2.2182855303275
20,09-Blida,Blida,604,Bouzaréah (600),"77, Boulevard Mohamed Boudiaf - Blida",025 21 58 26,025 21 58 27,9,36.4784627485847,2.81924833517234
21,10-Bouira,Lakhdaria,215,Chéraga (200),"Cité des 39 Logts., Route Nationale N° 05, BP 127, Lakhdaria - Bouira",026 71 20 39,026 71 20 40,10,36.563939,3.596601
22,10-Bouira,Bouira,223,Chéraga (200),Axe des Finances - Bouira ,026 73 93 01 / 026 73 93 05,026 73 93 62,10,36.376085,3.889071
23,10-Bouira,Bouira,749,Chéraga (200),"Cité LSP 50 Lgts. Hamana Omar, local N° 49, Bloc A12,Lakhdaria - Bouira",026 70 53 01,026 70 53 01,10,36.769611,3.055204
24,12-Tebessa,Tebessa,310,Annaba (300),"Bordj Larbi Boudiba, BP. 198 - Tebessa",037 55 54 61,037 55 50 67,12,35.402086,8.115716
25,12-Tebessa,Ouenza,312,Annaba (300),"Boulevard 1er Novembre 1954, BP. 171, Ouenza - Tebessa",037 67 87 00,037 67 89 63,12,35.951838,8.132996
26,12-Tebessa,Tebessa,754,Annaba (300),"Cité Oued Neghs, Nouvelle Gare Routière - Tébessa                 ",037 59 24 25 / 0560 48 10 97,037 59 24 25,12,35.4151586,8.1089036
27,13-Tlemcen,Tlemcen,404,Oran (400),"Résidence El Mitak 01, Bloc BC El Kiffan - Tlemcen",043 26 71 46 / 043 26 71 48,043 26 71 49,13,34.885680356155,-1.32693768201249
28,13-Tlemcen,Maghnia,416,Oran (400),"Rue Mohamed Khemisti, BP 461, Maghnia - Tlemcen",043 50 27 23 / 043 50 27 24,043 50 27 24,13,34.847607821776,-1.72902048177931
29,13-Tlemcen,Ghazaouet,417,Oran (400),"Porte de Nedroma, Ghazaouet - Tlemcen",043 46 72 88 / 043 46 72 89,043 46 72 87,13,35.0990207303066,-1.85805649506857
30,13-Tlemcen,Nedroma,417 Bis,Oran (400),"Ilot N° 36, N° 09, Nedroma - Tlemcen",043 45 62 99,043 45 62 95,13,35.0101594501899,-1.74654600392597
31,13-Tlemcen,Tlemcen,747/01,Oran (400),"21, Boulevard ZERROUKI Abdelkarim - Tlemcen",043 42 76 96,043 42 76 96,13,34.8794146728001,-1.30812403450628
32,14-Tiaret,Tiaret,405,Oran (400),"CIA la Colline, Rue de La Palestine - Tiaret",046 21 29 36,046 21 29  37,14,35.3775239067389,1.32035737034393
33,15-Tizi Ouzou,Tizi Ouzou,205,Chéraga (200),"Boulevard des Frères Belhadj, Nouvelle ville - Tizi Ouzou",026 11 74 86 / 026 11 38 39 / 026 11 05 41,026 11 21 63,15,36.702034,4.049709
34,15-Tizi Ouzou,Larabaâ Nath Irathen,228,Chéraga (200),"Route du Lycée, Larabaâ Nath Irathen -Tizi Ouzou",026 49 26 28,026 49 26 32,15,36.63485,4.205765
35,15-Tizi Ouzou,Azzazga,234,Chéraga (200),"Cité 300 Logts. AADL,  Azzazga - Tizi Ouzou",026 34 11 96 / 026 34 10 01    ,026 34 14 16,15,36.747593,4.359077
36,15-Tizi Ouzou,Tizi Ouzou,739,Chéraga (200),"Tours Villa N° 37, Rue des Frères Slimani - Tizi Ouzou",026 12 49 31,026 12 65 17,15,36.71701,4.04146
37,15-Tizi Ouzou,Draa Ben Khedda,768,Chéraga (200),"Rue KASRI Ahmed îlot central N° 39, Draa Ben Khedda - Tizi Ouzou",026 27 30 28,026 27 30 28,15,36.73227,3.96579
38,15-Tizi Ouzou,Beni Douala,205-Bis ,Chéraga (200),"Bt. N° 06 Appt. N° 04, 2ème Etage, Centre Beni Douala - Tizi Ouzou",026 40 63 42,026 25 63 44,15,36.623111,4.079728
39,15-Tizi Ouzou,Tizi Ouzou,727/03,Chéraga (200),"600 Lgts. Cité Génie Sider, Rue Salah Louanchi, Bt. N° 04Rez de chaussée, Local N° 05 - Tizi Ouzou",026 10 16 20,027 10 16 20,15,36.695469,4.044174
40,16-Alger,Belouizded,203,Chéraga (200),"23, Rue Mohamed Belouizded - Alger",021 65 10 24 / 021 65 40 92,021 66 06 76,16,36.75833,3.055971
41,16-Alger,Kouba,210,Chéraga (200),"Cité Serbat Bt. A9 GARIDI 1, Kouba - Alger",023 70 01 60,023 70 01 57,16,36.730145,3.066458
42,16-Alger,Baraki,212,Chéraga (200),"Cité 2004 Logements, Bt. 43 A ET B, Baraki - Alger",023 90 61 41/43,023 90 61 42,16,36.789635,3.262313
43,16-Alger,Hussein-Dey,213,Chéraga (200),"Rue Bachir Aoun, Brossette, Hussein-Dey - Alger ",021 23 46 88 / 021 23 31 50,021 23 23 94,16,36.739716,3.101389
