num,name,address,lat,lon,code_wil
81,CHAIB MOHAMED,05 RUE DES FRERES MERZOUK Bab El Oued,36.7943835,3.0523634,16
83,BENMOUBAREK AHMED,04 RUE SAID HAMDINE Bir Mourad Rais,36.732839,3.0381036,16
84,MANSOUR ABDELLAH,NOUVELLE RTE 149 Bouzareah,36.788908,3.017453,16
85,ZITOUNI BOUDJEMAA,CITE 604 LOGTS BATIMENT 47 01 Bir Mourad Rais,36.7323545,3.0497609,16
86,LADJEL NAIMA,CITE ZIANNIA BT 5 CHEVALLY Bouzareah,36.7696236,3.008815,16
87,MANSOURI OUDINA NADIA,CITE DES SOURCES BATIMENT 10 B 3 Bir Mourad Rais,36.7331108,3.0554289,16
88,IMAD MOHAMED,ROUTE SIDI YAHIA Hydra,36.7387861,3.04359,16
89,CHIHANI ABDELKADER,01 AVENUE AMRANE AHMED El Biar,36.7688987,3.0260599,16
90,NASSAR SALAH-BEY SALIHA,11 CITE AHCEN MEHYOUZ EX ASFODEL BT B CAGE 2 Ben Aknoun Rp,36.7597697,3.0138343,16
91,DHERBANI LAKHDAR,CITE CHAHID MAHDID SALAH BT F Birkhadem,36.7160675,3.0496695,16
92,BADI ABDELHAMID,101 NOUVELLE ROUTE Bouzareah,36.7904362,3.0173207,16
93,BEN AKILA ABDELKADER,10 CITE SAID HAMDINE BT 8 Bir Mourad Rais,36.7353482,3.0383576,16
94,AIT BOUDAOUD ISMAIL,CITE LES ANNASSERS 2 BT B29/2 Kouba,36.7341842,3.066072,16
95,MELAKHSSOU TAHAR,81 RUE KRIM BELKACEM Alger  Centre,36.7695198,3.0504901,16
96,SAIDI MOHAMMED CHERIF,CITE BACHJERAH BT 39 ISSUE 3 01  Khelifa Boukhalfa,36.766362,3.053652,16
97,AMIROUCHE AZZEDDINE,CITE DOUZI 3 428 Bab Ezzouar,36.736469,3.18412,16
98,REGANI NADJEM,CITE BACHJERAH BT 62/2 Bachedjerah,36.7193746,3.1116446,16
100,DENANE KHEDIDJA,AVENUE BOUDJEMAA MOGHNI BT ESSALEM CAGE C 28 Hussein Dey Rp,36.7388579,3.1005586,16
102,SAHRAOUI MOHAMED TAHAR,9 RUE HADJ AHMED OUADI Cherchell,36.5955738,2.2525015,42
103,GUECHOUT ABDELLATIF,36 AVENUE ALI BELHACEN Cherchell,36.5955738,2.2525015,42
104,MEDJRAB EL HADI,CITE 110 LOGTS BT E5 30 Blida,36.4933447,2.8612952,9
105,AIT KACI BOUALEM,01 RUE MESBAH HAMIDOU Kheraicia,36.7027252,3.0227071,16
106,LARBI ESSEGHIR,63 AVE AMARA YOUCEF Blida,36.4752079,2.8204585,9
107,CHABANE MOHAMMED,22 RUE BEN ALI Oued El Alleug,36.558265,2.793251,9
108,ARAB CHABANE,CITE SIDI YAKHLEF BT A Blida,36.4735715,2.8323153,9
109,BENABDELLAH MOULOUD,RUE BELHADID Kheraicia,36.6679107,2.9982768,16
111,OUADI MENNI HOURIA,232 LOT. BOULANGERIE INDUSTRIELLE Cheraga Rp,36.7668544,2.9602011,16
112,BOUDJENANA ABDELKADER,CITE ALI KERKOUBA BP 130 Kouba,36.7260163,3.0826673,16
113,BOUAMRA KHORIS,RUE MUSTAPHA BEN BOUALI Blida,36.4711582,2.8305238,9
114,BERTIL MOHAMMED,RUE LES FRERES TAIL Hadjout,36.5088655,2.4128469,42
115,MEBARKI SALAH,CITE 82 LOGTS RTE DU STADE 2 Hadjout,36.5121841,2.4142994,42
116,CHIKER MUSTAPHA,CITE DES 72 LOGTS El Affroun,36.4701592,2.625741,9
117,DJIDJEK SALAH,78 RUE DES FRERES ABDESLAMI Kouba,36.728999,3.0805174,16
118,BEN M'HAMED ABDELLAH,53 RUE DE LA REPUBLIQUE Chlef,36.1663176,1.3368035,2
