num,id,title,street,city,phone,lat,lon,code_wil
126,1688,31-01.30 - Agence MUSTAPHA BEN BOULAID,"88, Avenue Mustapha Ben Boulaid; ORAN ",Oran,07 82 29 15 25 / 05 54 80 39 86,35.687611,-0.661744,31
127,1689,31-01.50 - Agence AIN TURK,Plateau de trouville nich n°871 Ain Turck -Oran,Ain turk,07 82 29 15 31 / 05 54 80 20 87,35.735737,-0.744172,31
128,1678,31.1 .K.BENNOURA,Cité 287 logts (USTO) husn el djiwar BT C/3 local N°04 Oran,Maraval,07 82 29 15 26,35.725774,-0.572924,31
129,1677,31.K.BENNOURA,02 Cité Kastor Maraval Oran. J38,Oran,07 82 29 15 26,35.670659,-0.651221,31
130,1683,31.M.Bendella," Hai Khemisti lot N°290 plan de morcellement 283 lot, Bir Eldjir Oran. ",Bir Eldjir, 05 52 38 06 01,35.736515,-0.570441,31
131,1664,34.1.B.MERZOUGUI,Cité KELALECH AHMIMID HARRACH commune Bordj Bou Arreredj,Mhir BBA,07 82 29 13 77,36.070419,4.756405,34
132,1666,34.1.H.DERRARDJA,Cité 64 logts cop N° 17 bordj Ghedir Bordj Bou Arreredj,Bordj el guedir,07 82 29 15 12,35.91248,4.924707,34
133,1663,34.B.MERZOUGUI,1ere rue zone urbaine Bourdj Bou Arreridj,Bordj Bou Arerridj,07 82 29 13 77,36.070419,4.756405,34
134,1665,34.H.DERRARDJA,29 BDV HOUARI BOUMEDIEN BBA,Bordj Bou Arerridj,07 82 29 15 12,36.07379,4.758967,34
135,1667,34.S.MOHAMEDSEGHIR,"Lotissement Bouda, RUE A N°49 Bordj Bou Arreredj",Bordj Bou Arerridj,07 82 29 15 09,36.070419,4.756405,34
136,1586,35-02.10 - Agence BOUDOUAOU,"Cité El Merdja 08 mai 1945, Coopérative N°127,Section 16 Lot N°03, Boudouaou, BOUMERDES ",Boudouaou,07 99 12 95 04 / 05 54 84 87 39,36.7004,3.429645,35
137,1581,35-10.30 - Agence ROUTE N°3,"Route nationale N°24 local N°03- Boumerdes,",Boumerdes,07 82 29 16 10 / 05 54 84 85 37,36.751256,3.472567,35
138,1580,35-20.10 - Agence OULED MOUSSA,Rue de la pacerelle ouled moussa,Ouled Moussa,07 82 29 14 73 / 05 54 84 85 58,36.680005,3.389289,35
139,1575,35.1.GBOUDERBALA,04 DELLYS -Boumerdes,Dellys,07 82 29 15 52,36.9064414,3.9011635,35
140,1577,35.2.A.DJADEL,cité 11 Decembre 1960 coopérative el Badr bt 63 commune -wilaya Boumerdes,Boumerdes,07 82 19 16 34,36.756782,3.458039,35
141,1576,35.A.DJADEL,Coopérative El Moustaqbel - Rue Colonel Amirouche - Les Issers - W.Boumerdes,Les Issers,07 82 19 16 34,36.69318,3.672465,35
142,1574,35.G.BOUDERBALA,Rue principale - Baghlia - W.Boumerdes,Baghlia,07 82 29 15 52,36.794378,3.875712,35
143,1636,39-01.10 - Agence OUED SOUF,Cité 400 logts El Oued,Oued Souf,07 82 29 14 81 / 05 54 80 41 79,33.358833,6.856208,39
144,1629,40.S.FILALI,Rue Abbas Leghrour Khenchela,Khenchela,07 82 29 14 82,35.430515,7.148818,40
145,1543,42-01.10 - Agence RUE DU STADE,Cité  des 140 logts rue du stade Tipaza,Tipaza,07 82 29 14 66 / 05 54 80 16 45,36.617879,2.391236,42
146,1537,42-12.10 - Agence HADJOUT,Rue LAARBI BOUKELFOUNE Hadjout Tipaza,Hadjout,07 82 29 14 71 / 05 54 80 17 07,36.5110787,2.4083219,42
147,1542,42-22.10 - Agence CHERCHEL,3 RUE YOUCEF KHOUDJA MOHAMED - Cherchell - W.Tipaza,Cherchel,07 82 29 14 18 / 05 54 84 87 24,36.567504,2.203993,42
148,1541,42-26.10 - Agence BOUSMAIL,Rue 1er novembre -Bousmail w Tipaza,Bou-Smail,07 82 29 14 55 / 05 54 84 87 19,36.591737,2.449262,42
149,1697,42-35.20 - Agence de Kolea,"Lotissement N°30, Batiment 7/A commune de Kolea TIPAZA ",Kolea,07 82 29 16 08 / 05 54 80 39 12,36.643244,2.770802,9
150,1615,43-01.10 - Agence MILA,Lotissement Ouest Cité Brik N°79 Mila,Mila,07 82 29 15 00 / 05 54 80 23 58,36.4527619,6.2545798,43
151,1614,43-23.10 - Agence BAINEN,Bardou Beinen Wilaya de MILA,Bainen,07 82 29 15 03 / 05 54 83 25 08,36.360155,6.642433,43
152,1603,43.1.L.FEKRAOUI,Cité 40 logts participatifs n°53 ZEGHAIA-MILA,Zeghaia,07 82 29 15 02,36.471539,6.173912,43
153,1621,43.1.M.ELHADJALI,38 rue Bouchoua Ain M'lila -Oum El Bouaghi,Ain M'lila,07 82 29 15 01,36.018952,6.556988,4
154,1600,43.2.ARABHI,07 Cité El Zeradab route nationale n°5 Tadjnent-mila,Tadjnent,07 93 36 94 00,36.117761,5.970803,43
155,1601,43.3.ARABHI,Cité Céramique Route de Mila Ibn Ziad Constantine,Iben Ziad,07 93 36 94 00,36.371828,6.429036,25
156,1598,43.A.RABHI,Rue ahmed yahia rachid -Chelghoum laid,Chelghoum Laid,07 93 36 94 00,36.159448,6.17366,43
157,1602,43.L.FEKRAOUI,Cité el jnayene Sidi Merouane Mila,Sidi Merouene,07 82 29 15 02,36.499993,6.248215,43
158,1605,43.M.ELHADJALI,"Cité 200 Logts Teleghma, Mila",Teleghma,07 82 29 15 01,36.073743,6.343878,43
159,1522,44.1.A.SELMANE,"locale N°2 RDC zone industrielle N°16 commune Elamra -Aindefla,",Elamra,07 82 29 14 59,36.357192,1.851343,44
160,1521,44.A.SELMANE,"02,Rue de Martyrs, Ain Defla",Ain Defla,07 82 29 14 59,36.264479,1.95857,44
161,1520,44.M.ZERROUKI,rue mohamed khmesti el Attaf,El Attaf,07 82 29 15 49,36.22582,1.677435,44
162,1523,44.S.FERHAT,Cité Nadjem - Aïn Defla - W.Aïn Defla,Ain Defla,07 82 29 15 42,36.257204,1.957519,44
163,1544,47-01.10 - Agence GHARDAIA, Rue 05 Juillet Cité Thniyete El Makhzen wilaya de GHARDAIA,Ghardaia,07 82 29 14 46 / 05 54 84 36 25,32.475239,3.696225,47
164,1674,BBA001 - Agence BORDJ BOU ARRERIDJ,89 devision khelfaoui local n°6 groupe propr,BORDJ BOU ARRERIDJ,07 82 29 14 09 / 05 54 83 63 34,36.072901,4.773474,34
165,1532,BL0001,Avenue MEKERKEB Ben YOUCEF ex lotissement(VIDAL CORNARY),Blida,07 82 29 16 24 / 05 54 80 28 81,36.472281,2.816912,9
166,1668,BO.0001 - Agence BENI OURTTILANE,14 Rue colonel Amirouche Beni Ourtilane-SETIF,Beni Ourtilane,07 82 29 13 90 / 05 54 84 67 88,36.442206,4.852528,19
167,1507,DZ003 - Agence EL BIAR,Rue Mustapha Khalef EL BIAR -ALGER,EL Biar, 07 82 29 14 39 / 05 54 84 86 05,36.763512,3.020155,16
168,1566,DZ004 - Agence KOUBA,201 parc BEN OMAR 16050-KOUBA-Alger,Kouba,07 82 29 15 28 / 05 54 84 86 02,36.725493,3.091225,16
169,1508,DZ005 - Agence SIDI YAHIA,Rue yahia belhayet bts 14-Hydra-Alger,Hydra, 07 82 29 14 93 / 05 54 84 85 26,36.749192,3.037872,16
170,1509,DZ006 - Agence BOUZAREAH,Rue Ali remli N 68  Bouzeriah ex: pascal  Alger,Bouzareah, 07 82 29 14 67 / 05 54 82 30 54,36.779899,3.010268,16
171,1495,DZ007 - Macir Vie,"40 Rue Boudjmaa Hayouna, Cité les Abatoires",Staouali,07 82 29 16 12,36.759129,2.888891,16
172,1512,DZ009 - Agence ZERALDA,"N 07 Dévision est, boulvard 1 er novembre zéralda ",Zeralda,07 82 29 15 72 / 05 54 84 87 46,36.694615,2.827796,16
173,1564,DZ010 - Agence HUSSEIN DEY,Rue fernane hanafi ex: vou-bon n°51 Hussein dey ALGER,Hussein dey, 07 82 29 14 41 / 05 54 84 08 71,36.738387,3.094201,16
174,1511,DZ011 - Agence DELY IBRAHIM,"Boutique N°1 rez-de-chaussée, Bois Des Cars 1 N° 124 Dely Ibrahim ALGER",Dely Ibrahim, 07 82 29 16 29 / 05 54 80 29 23,36.753501,2.978547,16
175,1565,DZ012 - Agence REGHAIA,Coopérative immobilière ESSADAKA 1 RDC local N°04 B commune de REGHAIA wilaya d'ALGER,Reghaia, 07 82 09 07 53 / 05 54 83 84 62,36.743148,3.338737,16
176,1690,OR001 - Agence MILLENIUM,"Rue Millenium Bt C, N°7, Résidence el sawsen Local N° 2",Oran,07 82 29 14 20,35.691895,-0.632026,31
177,1691,OR002 - Agence IDAA,"Cité Magheri N° 29, Boulevard AHMED BEN ABDERZZAK",Oran,07 82 29 16 11 / 05 54 80 19 20,35.700447,-0.630108,31
178,1497,ST001 - Park Mall," N° U1,14RDC centre commercial PARC MALL Setif",Sétif,07 82 29 16 51 / 05 54 84 87 47,36.190748,5.410185,19
