num,name,address,phone_number,category,organization,lat,lon,commune_name,wilaya_name,type_name,type_id,code_wil
"307",LAITERIE SIDI KHALED, BP Num  398 ZONE INDUSTRIELLE ZAAROURA TIARET,,pv,GIPLAIT,35.32179,1.301177,TIARET,TIARET,Produits laitiers,"3","14"
"308",LAITERIE SIDI KHALED,CENTRE COMMERCIAL BATIMETAL CITE TEFAH,,pv,GIPLAIT,35.372136,1.347716,TIARET,TIARET,Produits laitiers,"3","14"
"309",LAITERIE SIDI KHALED,ROUTE EL BAYDA,,pv,GIPLAIT,35.358527,1.328925,TIARET,TIARET,Produits laitiers,"3","14"
"310",LAITERIE SIDI KHALED,VOLANI,,pv,GIPLAIT,35.35303,1.329524,TIARET,TIARET,Produits laitiers,"3","14"
"305",LAITERIE SIDI KHALED,CENTRE COMMERCIAL AUBERGE,,pv,GIPLAIT,35.35816,1.328681,TIARET,TIARET,Produits laitiers,"3","14"
"473",ccls frenda,FRENDA CENTRE VILLE,,pv,OAIC,35.062727,1.042897,FRENDA,TIARET,Légumes secs,"5","14"
"472",ccls tiaret,1 RUE MOULAY NADJEM BP 99 Tiaret Tiaret(14) Algérie,,pv,OAIC,35.3715140101358,1.32523705822669,TIARET,TIARET,Légumes secs,"5","14"
"147",SOUK RAMADAN,Pose Num 10 El -Hamadia,"035710168",pv,CNA,35.4594465393779,1.8723142151667,HAMADIA,TIARET,Fruits et légumes,"2","14"
"474",ccls mehdia,1 BD EMIR ABDELKADER Mahdia,,pv,OAIC,35.4282102309861,1.7512835796994,MAHDIA,TIARET,Légumes secs,"5","14"
"304",LAITERIE SIDI KHALED,CENTRE COMMERCIAL ZAAROURA,,pv,GIPLAIT,35.348639,1.314168,TIARET,TIARET,Produits laitiers,"3","14"
"306",LAITERIE SIDI KHALED,ROUTE DES FRERES KAIDI,,pv,GIPLAIT,35.367929,1.313543,TIARET,TIARET,Produits laitiers,"3","14"
"100",Beni-Douala Centre,Beni-Douala centre,,pv,CNA,36.62144,4.08204,BENI DOUALA,TIZI OUZOU,Fruits et légumes,"2","15"
"101",Marché Couvert,Lotissement Amyoud,,pv,CNA,36.71332,4.04586,TIZI OUZOU,TIZI OUZOU,Fruits et légumes,"2","15"
"102",Marché Chabane,Tizi-Ouzou,,pv,CNA,36.70955,4.07028,TIZI OUZOU,TIZI OUZOU,Fruits et légumes,"2","15"
"103",Marché Tala-Athmane,Tala-Athmane,,pv,CNA,36.7297,4.14854,TIZI OUZOU,TIZI OUZOU,Fruits et légumes,"2","15"
"99",Taboukert,Tizi-Rached Centre,,pv,CNA,36.69955,4.21414,TIZI RACHED,TIZI OUZOU,Fruits et légumes,"2","15"
"98",Ex-parc Communal ,Ouadhias Centre,,pv,CNA,36.55217,4.07797,OUADHIA,TIZI OUZOU,Fruits et légumes,"2","15"
"116",Marché centre,Chef Lieu Maatkas,,pv,CNA,36.60416,3.98446,MAATKA,TIZI OUZOU,Fruits et légumes,"2","15"
"96",Marché de proximité Couvert,à la cité Tirmitine,,pv,CNA,36.54447,3.95217,BOGHNI,TIZI OUZOU,Fruits et légumes,"2","15"
"95",Auberge de jeunesses Djurdjura,Ain-El-Hammam,,pv,CNA,36.57086,4.31835,AIN EL HAMMAM,TIZI OUZOU,Fruits et légumes,"2","15"
"94",Salle Omnisport,Ain-El-Hammam,,pv,CNA,36.56932,4.31657,AIN EL HAMMAM,TIZI OUZOU,Fruits et légumes,"2","15"
"51",centre ville dbk,a proximité de marché des légume de DBK,0553 48 66 18,pv,AGROLOG,36.7363889,3.97222222222222,DRAA BEN KHEDA,TIZI OUZOU,Viandes,"1","15"
"1",unité DBK,a proximité du GPLAIT DE DBK,0559 33 78 69,pv,AGROLOG,36.7338889,3.96138888888889,DRAA BEN KHEDA,TIZI OUZOU,Viandes,"1","15"
"49",abattoir taboukert,en face usine de transformation du bois,0555 88 24 91,pv,AGROLOG,36.7355556,3.97444444444444,DRAA BEN KHEDA,TIZI OUZOU,Viandes,"1","15"
"2",ccls tizi ouzou,Rue Nationale Num 25 Draa Ben Khedda,,pv,OAIC,36.7333778167616,3.95626989069213,DRAA BEN KHEDA,TIZI OUZOU,Légumes secs,"5","15"
"97",Placette sise à 200 logements,Boghni,,pv,CNA,36.54562,3.95556,BOGHNI,TIZI OUZOU,Fruits et légumes,"2","15"
"115",Marché,Alma centre,,pv,CNA,36.63412,4.04229,BENI ZMENZER,TIZI OUZOU,Fruits et légumes,"2","15"
"104",Djemaa-Saharidj,Mekla ,,pv,CNA,36.68875,4.289,MEKLA,TIZI OUZOU,Fruits et légumes,"2","15"
"131",Marché centre,Boudjima,,pv,CNA,36.80823,4.15789,BOUDJIMA,TIZI OUZOU,Fruits et légumes,"2","15"
"113",Marché,Tizagharine,,pv,CNA,36.59676,4.00878,SOUK EL TENINE,TIZI OUZOU,Fruits et légumes,"2","15"
"114",Marché,Azemour Oumeriem,,pv,CNA,36.67663,3.95852,TIRMITINE,TIZI OUZOU,Fruits et légumes,"2","15"
"135",Marché centre,N12A Sidi Naamane,,pv,CNA,36.75872,3.98012,SIDI NAAMANE,TIZI OUZOU,Fruits et légumes,"2","15"
"134",Marché de la gare,Tadmait,,pv,CNA,36.74376,3.9053,TADMAIT,TIZI OUZOU,Fruits et légumes,"2","15"
"3",Marché,Cité Mahmoudi Boulevard Larbaoui Mohamed Draa Ben Khedda 15100,,pv,CNA,36.72888,3.95832,DRAA BEN KHEDA,TIZI OUZOU,Fruits et légumes,"2","15"
"4",Marché couvert,Cité Kaper La DNC Draa Ben Khedda,,pv,CNA,36.73134,3.95854,DRAA BEN KHEDA,TIZI OUZOU,Fruits et légumes,"2","15"
"130",Marché centre,Tigzirt,,pv,CNA,36.89175,4.13109,TIGZIRT,TIZI OUZOU,Fruits et légumes,"2","15"
"129",Marché Centre,Draa El Mizan,,pv,CNA,36.53673,3.82789,DRAA EL MIZAN,TIZI OUZOU,Fruits et légumes,"2","15"
"128",Tighilt Bougni,M'kira,,pv,CNA,36.62494,3.7917,M?KIRA,TIZI OUZOU,Fruits et légumes,"2","15"
"112",Marché centre,Yakouren Centre,,pv,CNA,36.73662,4.43854,YAKOUREN,TIZI OUZOU,Fruits et légumes,"2","15"
"127",Marché centre,Thachtiouine Ait Yahia Moussa,,pv,CNA,36.65918,3.88824,AIT YAHIA MOUSSA,TIZI OUZOU,Fruits et légumes,"2","15"
"125",Marché centre,Ait El Mannsour Iferhounène,,pv,CNA,36.53302,4.37236,IFERHOUNENE,TIZI OUZOU,Fruits et légumes,"2","15"
"124",Marché centre,Route de At-Bu-Addu Ait Bouaddou,,pv,CNA,36.5069,4.05692,AIT BOUADOU,TIZI OUZOU,Fruits et légumes,"2","15"
"123",02 Points de vente,Tizi-Nteleta centre,,pv,CNA,36.5754,4.04036,TIZI N?THLATA,TIZI OUZOU,Fruits et légumes,"2","15"
"122",Tassafet,Tassafet,,pv,CNA,36.50205,4.25042,IBOUDRAREN,TIZI OUZOU,Fruits et légumes,"2","15"
"121",Souk El Had,Yatafene centre,,pv,CNA,36.52818,4.27919,YATAFENE,TIZI OUZOU,Fruits et légumes,"2","15"
"120",Marché,Taourirt Mimoun,,pv,CNA,36.58315,4.1946,BENI YENNI,TIZI OUZOU,Fruits et légumes,"2","15"
"119",Souk Thimamarth,Ait-Aggouacha Centre,,pv,CNA,36.61744,4.2341,AIT AGGOUACHA,TIZI OUZOU,Fruits et légumes,"2","15"
"118",EX SEMPAC,Larbaa-Nath-Irathen,,pv,CNA,36.64272,4.19965,LARBA NAIT IRATHEN,TIZI OUZOU,Fruits et légumes,"2","15"
"117",Marché centre,Chef lieu Ouacifs,,pv,CNA,36.52641,4.20813,OUACIF,TIZI OUZOU,Fruits et légumes,"2","15"
"126",Marché centre,Rue 1er Novembre Tizi Ghennif 15480,,pv,CNA,36.58768,3.77395,TIZI GHENIF,TIZI OUZOU,Fruits et légumes,"2","15"
"111",Marché couvert centre,Azazga Centre,,pv,CNA,36.7491,4.36567,AZAZGA,TIZI OUZOU,Fruits et légumes,"2","15"
"107",Ait-Mehend,Freha,,pv,CNA,36.73027,4.26427,FREHA,TIZI OUZOU,Fruits et légumes,"2","15"
"109",Agouni Oucharki,Aghribs,,pv,CNA,36.80888,4.31814,AGHRIB,TIZI OUZOU,Fruits et légumes,"2","15"
