,name,address,phone_number,category,organization,lat,lon,commune_name,wilaya_name,type_name,type_id,code_wil
52,POINT de vente abattoir zahana,zehanna Mascara,,pv,AGROLOG,35.50517306131886,-0.4025341442487081,ZEHANA,MASCARA,Viandes,1,29
53,point de vente ville zahana,Boulevard Brahimi Abdelkader Zahanna Mascara,,pv,AGROLOG,35.518291358682085,-0.41175438842479967,ZEHANA,MASCARA,Viandes,1,29
54,point de vente oued tlilat en cours,oued Tlilet Oran,,pv,AGROLOG,35.55523166489323,-0.4364103595887186,OUED TLELAT,ORAN,Viandes,1,31
55,PV plateau oran,3rue pierre smard plateau oran,,pv,AGROLOG,35.698940001154824,-0.6407714595855698,ORAN,ORAN,Viandes,1,31
56,PV hassi bounif, Hassi Bounif oran,,pv,AGROLOG,35.712849129991646,-0.49068105260001926,HASSI BOUNIF,ORAN,Viandes,1,31
57,Point vente SIG,COMMUNE EL Hachem mascara,,pv,AGROLOG,35.530680122284636,-0.19467743075399233,SIG,MASCARA,Viandes,1,29
58,siège EPE Spa SARBO,08 avenue Abderrahman Mira,0550 42 07 47  / 0660 83 99 45,pv,GVAPRO,36.79231584217548,3.0563316127021447,BAB EL OUED,ALGER,Fruits et légumes,2,16
59,Siège ONILEV,AIN BENIAN ONILEV,0661 93 24 21,pv,GVAPRO,36.79885362623037,2.923518740280755,AIN BENIAN,ALGER,Fruits et légumes,2,16
60,Foire d'Alger,Foire d'Alger,0661 93 24 21,pv,GVAPRO,36.73387237528331,3.1542756407035424,MOHAMMADIA,ALGER,Fruits et légumes,2,16
61,Siège EPE Spa SOA,Avenue des Martyres de la Révolution,0667 87 32 62,pv,GVAPRO,35.66352891519191,-0.6221757907548573,ES SENIA,ORAN,Fruits et légumes,2,31
62,Gouraya ,Parling quartier oued sebt,,pv,CNA,36.564628,1.966848,GOURAYA,TIPAZA,Fruits et légumes,2,42
63,Messelmoun ,route nationale Num 11 à proximité de la place,,pv,CNA,36.564799,2.000565,MESSELMOUN,TIPAZA,Fruits et légumes,2,42
64,Messelmoun ,Route nationale Num 11 cité des 200 logements,,pv,CNA,36.565108,1.992555,MESSELMOUN,TIPAZA,Fruits et légumes,2,42
65,DAMOUS,route de Hamadia,,pv,CNA,36.547928,1.70398,DAMOUS,TIPAZA,Fruits et légumes,2,42
66,LARHAT,à proximité du bureau de poste,,pv,CNA,36.557425,1.805912,LARHAT,TIPAZA,Fruits et légumes,2,42
67,HADJOUT,Rue fetaka Ali,,pv,CNA,36.51252,2.4171,HADJOUT,TIPAZA,Fruits et légumes,2,42
68,HADJOUT,entrée est près de l'OAIC,,pv,CNA,36.512405,2.419583,HADJOUT,TIPAZA,Fruits et légumes,2,42
69,MERAD,Place derrière siège APC,,pv,CNA,36.47268,2.427586,MERAD,TIPAZA,Fruits et légumes,2,42
70,Ahmer El Ain,Rue Belarbi Amer près de la mosquée,,pv,CNA,36.47515,2.564814,AHMAR EL AIN,TIPAZA,Fruits et légumes,2,42
71,Bourkika,près du centre commercial entrée ouest de la ville,,pv,CNA,36.495566,2.472909,BOURKIKA,TIPAZA,Fruits et légumes,2,42
72,SIDI RACHED,à proximité du stade communal,,pv,CNA,36.559911,2.532394,SIDI RACHED,TIPAZA,Fruits et légumes,2,42
73,BOU ISMAIL,Marché de proximité ex quartier Bailili,,pv,CNA,36.634126,2.6886466,BOU ISMAIL,TIPAZA,Fruits et légumes,2,42
74,BOU ISMAIL,Place près de l'UDES,,pv,CNA,36.657264,2.714216,BOU ISMAIL,TIPAZA,Fruits et légumes,2,42
75,BOU ISMAIL,Marché couvert,,pv,CNA,36.6424865,2.6905312,BOU ISMAIL,TIPAZA,Fruits et légumes,2,42
76,AIN TAGOURAIT,Place du marché hebdomadaire,,pv,CNA,36.600615,2.600611,AIN TAGOURAIT,TIPAZA,Fruits et légumes,2,42
77,OFLA,Ex CCLS OFLA,,pv,CNA,36.661188,2.739692,FOUKA,TIPAZA,Fruits et légumes,2,42
78,Haloula,cité Haloula,,pv,CNA,36.569752,2.666477,ATTATBA,TIPAZA,Fruits et légumes,2,42
79,Chaik,Quartier Chaik près de la mosquée,,pv,CNA,36.637566,2.738408,CHAIBA,TIPAZA,Fruits et légumes,2,42
80,marché de gros des fruits et légumes,Dhayet Bendhahoua,,pv,CNA,32.53099021696226,3.6072591582279134,DHAYET BENDHAHOUA,GHARDAIA,Fruits et légumes,2,47
81,Ighoza,W147 Ghardaia,,pv,CNA,32.49327714145468,3.6481430704960918,GHARDAIA,GHARDAIA,Fruits et légumes,2,47
82,Karkoura,Ghardaia,,pv,CNA,32.49606218070015,3.6461193895648414,GHARDAIA,GHARDAIA,Fruits et légumes,2,47
83,mermed,Ghardaia,,pv,CNA,32.496784296167824,3.6728593939749006,GHARDAIA,GHARDAIA,Fruits et légumes,2,47
84,Merakchi,Avenue du 1er Novembre Ghardaia,,pv,CNA,32.47765270516082,3.6880075112685686,GHARDAIA,GHARDAIA,Fruits et légumes,2,47
85,Porte Occidentale Beni Isguen,Porte Occidentale  Ghardaia,,pv,CNA,32.47216230978029,3.6935372704405034,BOUNOURA,GHARDAIA,Fruits et légumes,2,47
