num,code,code_5,nom,nom_maj,code_wil
1297,3920,39020,Ourmas,OURMES,39
1298,3921,39021,Still,STILL,39
1299,3922,39022,Mrara,MRARA,39
1300,3923,39023,Sidi Khellil,SIDI KHELLIL,39
1301,3924,39024,Tendla,TENDLA,39
1302,3925,39025,El Ogla,EL OGLA,39
1303,3926,39026,Mih Ouansa,MIH OUENSA,39
1304,3927,39027,El Mghair,EL MGHAIR,39
1305,3928,39028,Djamaa,DJAMAA,39
1306,3929,39029,Oum Tiour,OUM TIOUR,39
1307,3930,39030,Sidi Amrane,SIDI AMRANE,39
1308,4001,40001,Khenchela,KHENCHELA,40
1309,4002,40002,Mtoussa,MTOUSSA,40
1310,4003,40003,Kais,KAIS,40
1311,4004,40004,Baghai,BAGHAI,40
1312,4005,40005,El Hamma,EL HAMMA,40
1313,4006,40006,Ain Touila,AIN TOUILA,40
1314,4007,40007,Taouzianat,TAOUZIANAT,40
1315,4008,40008,Bouhmama,BOUHMAMA,40
1316,4009,40009,El Oueldja,EL OUELDJA,40
1317,4010,40010,Remila,REMILA,40
1318,4011,40011,Cherchar,CHERCHAR,40
1319,4012,40012,Djellal,DJELLAL,40
1320,4013,40013,Babar,BABAR,40
1321,4014,40014,Tamza,TAMZA,40
1322,4015,40015,Ensigha,ENSIGHA,40
1323,4016,40016,Ouled Rechache,OULED RECHACHE,40
1324,4017,40017,El Mahmal,EL MAHMAL,40
1325,4018,40018,Msara,MSARA,40
1326,4019,40019,Yabous,YABOUS,40
1327,4020,40020,Khirane,KHIRANE,40
1328,4021,40021,Chelia,CHELIA,40
1329,4101,41001,Souk Ahras,SOUK-AHRAS,41
1330,4102,41002,Sedrata,SEDRATA,41
1331,4103,41003,Hanancha,HANANCHA,41
1332,4104,41004,Mechroha,MECHROHA,41
1333,4105,41005,Ouled Driss,OULED DRISS,41
1334,4106,41006,Tiffech,TIFFECH,41
1335,4107,41007,Zaarouria,ZAAROURIA,41
1336,4108,41008,Taoura,TAOURA,41
1337,4109,41009,Drea,DREA,41
1338,4110,41010,Haddada,HADDADA,41
1339,4111,41011,Khedara,KHEDARA,41
1340,4112,41012,Merahna,MERAHNA,41
1341,4113,41013,Ouled Moumen,OULED MOUMEN,41
1342,4114,41014,Bir Bou Haouch,BIR BOU HAOUCH,41
1343,4115,41015,Mdaourouche,MDAOUROUCHE,41
1344,4116,41016,Oum El Adhaim,OUM EL ADHAIM,41
1345,4117,41017,Ain Zana,AIN ZANA,41
1346,4118,41018,Ain Soltane,AIN SOLTANE,41
1347,4119,41019,Quillen,QUILLEN,41
1348,4120,41020,Sidi Fredj,SIDI FREDJ,41
1349,4121,41021,Safel El Ouiden,SAFEL EL OUIDEN,41
1350,4122,41022,Ragouba,RAGGOUBA,41
1351,4123,41023,Khemissa,KHEMISSA,41
1352,4124,41024,Oued Keberit,OUED KEBERIT,41
1353,4125,41025,Terraguelt,TERRAGUELT,41
1354,4126,41026,Zouabi,ZOUABI,41
1355,4201,42001,Tipaza,TIPAZA,42
1356,4202,42002,Menaceur,MENACEUR,42
1357,4203,42003,Larhat,LARHAT,42
1358,4204,42004,Douaouda,DOUAOUDA,42
1359,4205,42005,Bourkika,BOURKIKA,42
1360,4206,42006,Khemisti,KHEMISTI,42
1361,4207,42007,Aghbal,AGHBAL,42
1362,4208,42008,Hadjout,HADJOUT,42
1363,4209,42009,Sidi Amar,SIDI AMAR,42
1364,4210,42010,Gouraya,GOURAYA,42
1365,4211,42011,Nador,NADOR,42
1366,4212,42012,Chaiba,CHAIBA,42
1367,4213,42013,Ain Tagourait,AIN TAGOURAIT,42
1368,4214,42014,Cherchel,CHERCHEL,42
1369,4215,42015,Damous,DAMOUS,42
1370,4216,42016,Meurad,MEURAD,42
1371,4217,42017,Fouka,FOUKA,42
1372,4218,42018,Bou Ismail,BOU ISMAIL,42
1373,4219,42019,Ahmer El Ain,AHMER EL AIN,42
1374,4220,42020,Bouharoun,BOUHAROUN,42
1375,4221,42021,Sidi Ghiles,SIDI GHILES,42
1376,4222,42022,Messelmoun,MESSELMOUN,42
1377,4223,42023,Sidi Rached,SIDI RACHED,42
1378,4224,42024,Kolea,KOLEA,42
1379,4225,42025,Hattatba,HATTATBA,42
1380,4226,42026,Sidi Semiane,SIDI SEMIANE,42
1381,4227,42027,Beni Milleuk,BENI MILLEUK,42
1382,4228,42028,Hadjeret Ennous,HADJERET ENNOUS,42
1383,4301,43001,Mila,MILA,43
1384,4302,43002,Ferdjioua,FERDJIOUA,43
1385,4303,43003,Chelghoum Laid,CHELGHOUM LAID,43
1386,4304,43004,Oued Athmenia,OUED ATHMANIA,43
1387,4305,43005,Ain Mellouk,AIN MELLOUK,43
1388,4306,43006,Telerghma,TELAGHMA,43
1389,4307,43007,Oued Seguen,OUED SEGUEN,43
1390,4308,43008,Tadjenanet,TADJENANET,43
1391,4309,43009,Benyahia Abderrahmane,BENYAHIA ABDERRAHMANE,43
1392,4310,43010,Oued Endja,OUED ENDJA,43
1393,4311,43011,Ahmed Rachedi,AHMED RACHDI,43
1394,4312,43012,Ouled Khalouf,OULED KHELLOUF,43
1395,4313,43013,Tiberguent,TIBERGUENT,43
1396,4314,43014,Bouhatem,BOUHATEM,43
1397,4315,43015,Rouached,ROUACHED,43
1398,4316,43016,Tassala Lemtai,TASSALA LEMTAI,43
1399,4317,43017,Grarem Gouga,GRAREM GOUGA,43
1400,4318,43018,Sidi Merouane,SIDI MEROUANE,43
1401,4319,43019,Tassadane Haddada,TASSADANE HADDADA,43
1402,4320,43020,Derradji Bousselah,DERRADJI BOUSSELAH,43
1403,4321,43021,Minar Zarza,MINAR ZARZA,43
1404,4322,43022,Amira Arres,AMIRA ARRES,43
1405,4323,43023,Terrai Bainem,TERRAI BAINEM,43
1406,4324,43024,Hamala,HAMALA,43
1407,4325,43025,Ain Tine,AIN TINE,43
1408,4326,43026,El Mechira,EL MCHIRA,43
1409,4327,43027,Sidi Khelifa,SIDI KHELIFA,43
1410,4328,43028,Zeghaia,ZEGHAIA,43
1411,4329,43029,Elayadi Barbes,EL AYADI BARBES,43
1412,4330,43030,Ain Beida Harriche,AIN BEIDA HARRICHE,43
1413,4331,43031,Yahia Beniguecha,YAHIA BENI GUECHA,43
1414,4332,43032,Cheraga,CHERAGA,43
1415,4401,44001,Ain Defla,AIN-DEFLA,44
1416,4402,44002,Miliana,MILIANA,44
1417,4403,44003,Boumedfaa,BOUMEDFAA,44
1418,4404,44004,Khemis Miliana,KHEMIS MILIANA,44
1419,4405,44005,Hammam Righa,HAMMAM RIGHA,44
1420,4406,44006,Arib,ARIB,44
1421,4407,44007,Djelida,DJELIDA,44
1422,4408,44008,El Amra,EL AMRA,44
1423,4409,44009,Bourached,BOURACHED,44
1424,4410,44010,El Attaf,EL ATTAF,44
1425,4411,44011,El Abadia,EL ABBADIA,44
1426,4412,44012,Djendel,DJENDEL,44
1427,4413,44013,Oued Chorfa,OUED CHORFA,44
1428,4414,44014,Ain Lechiakh,AIN LECHIAKH,44
1429,4415,44015,Oued Djemaa,OUED DJEMAA,44
1430,4416,44016,Rouina,ROUINA,44
1431,4417,44017,Zeddine,ZEDDINE,44
1432,4418,44018,El Hassania,EL HASSANIA,44
1433,4419,44019,Bir Ouled Khelifa,BIR OULED KHELIFA,44
1434,4420,44020,Ain Soltane,AIN SOLTANE,44
1435,4421,44021,Tarik Ibn Ziad,TARIK IBN ZIAD,44
1436,4422,44022,Bordj Emir Khaled,BORDJ EMIR KHALED,44
1437,4423,44023,Ain Torki,AIN TORKI,44
1438,4424,44024,Sidi Lakhdar,SIDI LAKHDAR,44
1439,4425,44025,Ben Allal,BEN ALLAL,44
1440,4426,44026,Ain Benian,AIN BENIAN,44
1441,4427,44027,El Hoceinia,EL HOCEINIA,44
1442,4428,44028,Barbouche,BARBOUCHE,44
1443,4429,44029,Djemaa Ouled Chikh,DJEMAA OULED CHEIKH,44
1444,4430,44030,Mekhatria,MEKHATRIA,44
1445,4431,44031,Bathia,BATHIA,44
1446,4432,44032,Tachta Zegagha,TACHTA ZEGARRA,44
1447,4433,44033,Ain Bouyahia,AIN BOUYAHIA,44
1448,4434,44034,El Maine,EL MAYENE,44
1449,4435,44035,Tiberkanine,TIBERKANINE,44
1450,4436,44036,Belaas,BELAAS,44
1451,4501,45001,Naama,NAAMA,45
1452,4502,45002,Mechria,MECHRIA,45
1453,4503,45003,Ain Sefra,AIN SEFRA,45
1454,4504,45004,Tiout,TIOUT,45
1455,4505,45005,Sfissifa,SFISSIFA,45
1456,4506,45006,Moghrar,MOGHRAR,45
1457,4507,45007,Assela,ASLA,45
1458,4508,45008,Djenien Bourezg,DJENIEN BOUREZG,45
1459,4509,45009,Ain Ben Khelil,AIN BEN KHELIL,45
1460,4510,45010,Mekmen Ben Amar,MEKMEN BEN AMAR,45
1461,4511,45011,Kasdir,KASDIR,45
1462,4512,45012,El Biod,EL BIOD,45
1463,4601,46001,Ain Temouchent,AIN-TEMOUCHENT,46
1464,4602,46002,Chaabet El Ham,CHAABET EL HAM,46
1465,4603,46003,Ain Kihal,AIN KIHEL,46
1466,4604,46004,Hammam Bouhadjar,HAMMAM BOUHADJAR,46
1467,4605,46005,Bou Zedjar,BOUZEDJAR,46
1468,4606,46006,Oued Berkeche,OUED BERKECHE,46
1469,4607,46007,Aghlal,AGHLAL,46
1470,4608,46008,Terga,TERGA,46
1471,4609,46009,Ain El Arbaa,AIN EL ARBAA,46
1472,4610,46010,Tamzoura,TAMZOUGHA,46
1473,4611,46011,Chentouf,CHENTOUF,46
1474,4612,46012,Sidi Ben Adda,SIDI BEN ADDA,46
1475,4613,46013,Aoubellil,OUGBELLIL,46
1476,4614,46014,El Malah,EL MALAH,46
1477,4615,46015,Sidi Boumediene,SIDI BOUMEDIENE,46
1478,4616,46016,Oued Sabah,OUED SEBBAH,46
1479,4617,46017,Ouled Boudjemaa,OULED BOUDJEMAA,46
