num, id, type_agence, nom_agence, code_agence,  wilaya_agence, commune_agence, latitude, longitude, adresse, tel, email, horaires 
108, 3134, "1", "Skikda b", "3006", "21", "24001", "36.8659775", "6.90116833333333", "Cit", "038 70.55.66 - 70.55.66", "", ""
109, 3135, "1", "Azzaba", "3007", "21", "21004", "36.7493130555556", "7.10270861111111", "Rue du 1 er novembre 54 azzaba - skikda", "038 77 84 79 - 77 84 79", "", ""
110, 3136, "1", "El harrouch", "3008", "21", "21001", "36.6510516666667", "6.83449805555556", "Cit", "038 79.03.01 - 79.03.01", "", ""
111, 3137, "1", "Skikda b sts", "3010", "21", "21001", "36.4728413888889", "7.73098027777778", "40, rue didouche mourad - skikda", "038 75.27.95 - 75.27.95", "", ""
112, 3138, "2", "Aga brania", "3051", "21", "21001", "36.8690930555556", "6.91286722222222", "All", "038 72.10.46 - 72.10.46", "", ""
113, 3139, "2", "Aga boulahlouba", "3054", "21", "21001", "36.883285", "6.90732111111111", "04,rue place du 1er novembre 1954 - skikda", "038 75.57.30 - 75.57.30", "", ""
114, 3140, "1", "Souk ahras", "2708", "41", "21001", "36.2836994444444", "7.95839416666667", "Rue abdel moumen - souk ahras", "037 31 04 59 - 31 04 59", "", ""
115, 3141, "1", "Berrahal", "2714", "41", "21001", "36.8339372222222", "7.45770305555556", "Cit", "038 87.81.98 - 87.81.98", "", ""
116, 3142, "1", "Sedrata", "3001", "41", "21001", "36.1270916666667", "7.53457888888889", "Cit", "037 37.69.96 - 37.69.96", "", ""
117, 3143, "1", "Poste frontalier hadadda", "23001", "41", "0", "36.2290138888889", "8.34407111111111", "Poste frontalier hdadda", "", "", ""
118, 3144, "1", "Poste frontalier  ouled moumen", "23002", "41", "0", "36.4275580555556", "8.36992805555556", "Poste frontalier ouled moumen", "", "", ""
119, 3145, "1", "Tebessa", "2906", "12", "41002", "35.4015555555556", "8.11791666666667", "Cit", "037 48 48 78 - 48.48.78", "", ""
120, 3146, "1", "Bir el ater", "2918", "12", "12002", "34.75125", "8.05630555555556", "Cit", "037 44.65.92 - 44.65.92", "", ""
121, 3147, "2", "Aga zitouni", "2774", "12", "0", "35.9403525", "8.13830583333333", "N", "037 46 86 68 - 46 86 68", "", ""
122, 3148, "1", "Kais", "2915", "5", "12001", "35.4873611111111", "6.93227777777778", "Route de khenchla kais- khenchela", "032 37.26.55 - 37.26.55", "", ""
123, 3149, "1", "Bd. aissat idir, ain m'lila-ou", "2901", "4", "0", "36.033333", "6.583333", "Bd,aissat idir ain m'lila- ( w )-o-e-bouaghi", "032 44.84.28 - 44.84.28", "", ""
124, 3150, "2", "Aga chergui", "2967", "5", "0", "35.5401388888889", "6.16866666666667", "La coop", "033 25 81 01", "", ""
125, 3151, "2", "Aga gouicem ali", "2970", "5", "0", "34.8517222222222", "5.75172222222222", "Cit", "033 52 55 63 - 52 55 63", "", ""
126, 3152, "2", "Aga azizi zahira", "2969", "5", "0", "35.6171666666667", "6.24597222222222", "Route nationale n", "033 80 80 47", "", ""
127, 3153, "2", "Aga mohamedi", "2959", "5", "5001", "35.5345833333333", "6.18255555555556", "Cnep 2 n", "033 81 20 03 - 81-20-03", "", ""
128, 3154, "2", "Aga haiouni", "2964", "5", "0", "35.5353611111111", "6.14680555555556", "N", "033 81-84-10", "", ""
129, 3155, "1", "Merouana", "2910", "5", "5001", "35.6335277777778", "5.90722222222222", "Rue du lyc", "033 83.11.29 - 83.11.29", "", ""
130, 3156, "1", "Ain touta", "2920", "5", "5045", "35.3773055555556", "5.89183333333333", "Route de biskra ain touta- batna", "033 83.54.37 - 83.54.37", "", ""
131, 3157, "2", "Aga belkacemi", "2963", "5", "0", "35.6300833333333", "5.909", "Cit", "033 83-19-52", "", ""
132, 3158, "2", "Aga meguellati", "2966", "5", "0", "35.3783055555556", "5.8935", "Rue salah laala ain touta _ batna", "033 83-67-97", "", ""
133, 3159, "1", "Arris", "2912", "5", "5016", "35.2575555555556", "6.35772222222222", "Cit", "033 84.50.61 - 84.50.61", "", ""
134, 3160, "1", "Batna 'b'", "2903", "5", "5001", "35.5550555555556", "6.17263888888889", "05, rue grine belkacem- batna", "033 85.19.88 - 85.19.88", "", ""
135, 3161, "1", "Batna stes", "2905", "5", "5016", "35.5495", "6.17488888888889", "02, all", "033 85-63-74 - 85-63-74", "", ""
136, 3162, "2", "Aga mekentichi", "2958", "5", "5001", "35.549", "6.17455555555556", "02, all", "033 85-65-71 - 85-65-71", "", ""
137, 3163, "2", "Aga khedri", "2965", "5", "0", "35.5435277777778", "6.15855555555556", "N", "033 86 81 81", "", ""
138, 3164, "2", "Aga bechtellah", "2961", "5", "0", "35.5379444444444", "6.14005555555556", "Cit", "033 86 94 66", "", ""
139, 3165, "2", "Aga kada", "2957", "5", "5001", "35.5549166666667", "6.16908333333333", "02, avenue de la verdure- batna", "033 86.98.14 - 86.98.14", "", ""
140, 3166, "1", "N'gaous", "2904", "5", "0", "35.5534166666667", "5.61108333333333", "Route principale, n_gaous- batna", "033 88.72.72 - 88.72.72", "", ""
141, 3167, "1", "Barika", "2913", "5", "5001", "35.3853055555556", "5.36983333333333", "Cit", "033 89.10.42 - 89.10.42", "", ""
142, 3168, "1", "Biskra 'a'", "3102", "7", "0", "34.8578055555556", "5.72708333333333", "14, rue de la r", "033 74.71.59 - 74.71.59", "", ""
143, 3169, "1", "Biskra 'b'", "3103", "7", "5042", "34.8458055555556", "5.69152777777778", "Cit", "033 73 41 65 - 73 41 65", "", ""
144, 3170, "1", "Tolga", "3105", "7", "7001", "34.7314166666667", "5.38391666666667", "Route d_alger tolga _ biskra", "033 78 61 68 - 78-73-40", "", ""
145, 3171, "1", "Ouled djellal", "3106", "7", "7001", "34.4290555555555", "5.06813888888889", "Route principale, villa n", "033 76.04.96 - 76.04.96", "", ""
146, 3172, "1", "Sidi okba", "3109", "7", "7021", "34.7551111111111", "5.90569444444444", "Rue khattab abdelhafid sidiokba -biskra", "033 60.51.44 - 60.51.44", "", ""
147, 3173, "1", "Biskra stes", "3114", "7", "0", "34.8534444444444", "5.72780555555556", "37, boulevard emir abdelkader- biskra", "033 73.34.56 - 73.34.56", "", ""
148, 3174, "2", "Aga merrad", "2960", "7", "7001", "34.8545", "5.70752777777778", "All", "033 75 54 45 - 033 75 54 45", "", ""
149, 3175, "2", "Aga zaigouche", "3153", "7", "0", "35.2221388888889", "5.70825", "Route principale el kentara- biskra", "033 79.21.89 -  79.21.89", "", ""
150, 3176, "1", "Khenchela", "2908", "40", "7001", "35.4291111111111", "7.14075", "Cit", "032 32.26.73 - 32.26.73", "", ""
151, 3177, "1", "Chechar", "2921", "40", "0", "35.0413888888889", "7.00444444444444", "Cit", "032 35.30.19 -  35.30.19", "", ""
152, 3178, "2", "Aga falek", "2952", "40", "40001", "35.4335555555556", "7.14175", "Cit", "032 32.54.80 - 32.54.80", "", ""
153, 3179, "1", "Oum el bouaghi", "2909", "4", "0", "35.8775", "7.113611", "Cit", "032 42.45.57 - 42.45.57", "", ""
154, 3180, "1", "Ain beida", "2911", "4", "4002", "35.7943333333333", "7.38775", "Rue  zidouni amara, ain beida- oum el bouaghi", "032 49.35.08 - 49.35.08", "", ""
155, 3181, "1", "Ain fakroun", "2914", "4", "0", "35.9731111111111", "6.86983333333333", "Cit", "032 40.24.43 - 40.24.43", "", ""
156, 3182, "1", "Sidi aissa", "1810", "28", "28016", "35.887358", "3.773849", "Boulevard de l'aln sidi aissa m'sila", "", "", ""
157, 3183, "1", "Adrar", "3405", "1", "1001", "27.870719", "-0.285890618", "Rue slimane ben ali bp n", "049 96.83.66 - 96.83.66", "", ""
158, 3184, "1", "Timimoun", "3406", "1", "1009", "29.2649344", "0.236425917", "Centre commercial bp n", "049 90.41.51 - 90.41.51", "", ""
159, 3185, "1", "Aoulef", "3407", "1", "1012", "26.971727", "1.080194", "Rue emir abdelkader bp n", "049 97.60.85 - 97.60.85", "", ""
