agence,adresse,wilaya,code,lon,lat,type
Antenne Ben Badis,GRAND BOULEVERD ROUTE DE TLEMCEN BENBADIS,Sidi Bel Abbes,"22",34.952302199999998,-0.915767900000000,Antenne
Antenne Ain El Berd,SIEGE DE LA DAIRA RUE MOHAMED KHEMISTI,Sidi Bel Abbes,"22",35.186502800000000,-0.631775600000000,Antenne
Antenne Sfisef,RUE GHARBI ABDELKADER JARDIN  SFISEF,Sidi Bel Abbes,"22",35.197338899999998,-0.619736100000000,Antenne
Agence Skikda,CITÉ BOUHADJA MERDJ EDDIB BP 485,Skikda,"21",36.864842699999997,6.921798800000000,Agence
Agence Souk Ahras,cite 400 logements,Souk Ahras,"41",36.280106199999999,7.938403300000000,Agence
Agence Tamanrasset,N° K 34 SERSSOUF  EN FACE MOBILIS PB 1835,Tamanrasset,"11",22.790297200000001,5.519326800000000,Agence
Agence Tebessa,BOULEVARD HOUARI BOUMEDIANE,Tebessa,"12",35.399735800000002,8.109953100000000,Agence
Agence Tiaret,BP 145 ROUTE DE FRIGO TIARET,Tiaret,"14",35.365741700000001,1.315664700000000,Agence
Antenne Sougeur,ROUTE SI ABDELGHANI SOUGUEUR,Tiaret,"14",35.230579599999999,1.633800600000000,Antenne
Agence Tipaza,ROUTE DE FOUKA  - KOLEA,Tipaza,"42",36.643451399999996,2.761719600000000,Agence
Antenne Kolea Ouest,CITE 110 LOGEMENTS ROUTE DE BOU ISMAIL -  KOLEA,Tipaza,"42",36.640219500000001,2.755115200000000,Antenne
Agence Tlemcen,CITE ELOUROUD BT A6 IMAMA MANSOURAH,Tlemcen,"13",34.881235699999998,-1.343308500000000,Agence
Antenne Nedroma,RUE BOUANANI AHMED N°13 BIS,Tlemcen,"13",34.882886399999997,-1.316681500000000,Antenne
Antenne Ghazaouet,SIEGE COMMUNE DE TIENT,Tlemcen,"13",35.052363800000002,-1.838578600000000,Antenne
Antenne Maghnia,RUE 1ER NOVEMBRE ANCIEN SIEGE APC,Tlemcen,"13",34.882886399999997,-1.316681500000000,Antenne
Antenne Tlemcen,BD AIN SEBAA LOTISSEMENT DIB,Tlemcen,"13",34.874811200000003,-1.324623000000000,Antenne
Agence Tindouf,HAI  EL MOSTAKBAL  TINDOUF,Tindouf,"37",27.671915899999998,-8.139800299999999,Agence
Agence Tissemsilt,RUE NACHET ALI  ROUTE DE HAMADIA,Tissemsilt,"38",35.605378100000003,1.813098000000000,Agence
Agence Tizi Ouzou,6 BOULEVARD COLONEL AMIROUCHE  TIZI-OUZOU,Tizi Ouzou,"15",36.712836199999998,4.043296700000000,Agence
Antenne Tizi Ouzou,"104 Logts EPLF, Bt  C1  Nouvelle Ville",Tizi Ouzou,"15",36.696231500000003,4.042987900000000,Antenne
Agence Batna,NOUVELLE CITÉ ADMINISTRATIVE- LA VERDURE BATNA BP 278,Batna,"5",35.556404499999999,6.170425900000000,Agence
Agence Bordj Bou Arreridj,111 LOG  PROMOTION AVENUE HOUARI BOUMEDIENNE (EN FACE 500 LGTS),Bordj Bou Arreridj,"34",40.520422699999997,22.971675800000000,Agence
Agence Bouira,111 LOG  PROMOTION AVENUE HOUARI BOUMEDIENNE (EN FACE 500 LGTS),Bouira,"10",40.520422699999997,22.971675800000000,Agence
Agence Mila,"CENTRE COMMERCIAL, MILA",Mila,"43",25.790666900000002,-80.136581399999997,Agence
Antenne Bab El Oued,"CITÉ 19 MARS , BP N° 143 BELLE VUE",Alger,"16",35.918572800000000,0.097458700000000,Antenne
Agence Djelfa,ROUTE DE LAGHOUAT EX : SIEGE SAA,Djelfa,"17",33.807834100000001,2.862829400000000,Agence
